Sample,Cytosine ,Aspartic acid ,Uridine monophosphate,Inosine monophosphate,Adenosine monophosphate,Guanosine monophosphate ,Uric acid ,Adenine ,Hypoxanthine ,Nicotinic acid ,Xanthine ,Uridine ,Adenosine ,Guanosine ,Inosine ,Guanine ,purine ,Xanthosine ,Thymine ,NADP ,Citrate,Malate,Fumarate,Succinate,Oxalate,Glutamine,Glutamic acid,Hydroxy glutarate,SAM ,SAH ,NADH ,NAD 
22-021,-8.968919935,-9.362289899,-11.97076599,-8.970419679,-6.040967724,-9.741725652,-10.39166498,-8.882977207,-6.161400302,-6.946637273,-6.637338596,-9.073017357,-7.162289969,-6.281810548,-2.403297975,-4.99751604,-12.80515767,-9.227349502,-9.814658634,-12.56592426,-6.901063048,-13.22829657,-12.07705299,-8.161980735,-5.850880524,-6.405029903,-1.971448534,-4.079271512,-4.510331599,-8.314336399,-7.324446427,-4.924756129
22-021,-3.349723469,-3.917210941,-10.37208829,-7.948665965,-5.010624475,-8.787385058,-4.523240989,-3.390940323,1.21392903,-4.490414438,-3.620809516,-3.643580987,-4.336168019,-1.27310777,0.081496287,-0.193916066,-8.565733658,-4.655193507,-9.445270438,-10.6252019,7.996483853,-7.438941057,-5.697631559,-3.144821905,-5.771130648,-1.418936582,3.637275293,-0.445466147,-4.033885452,-5.141982475,-7.553346378,-5.172604194
22-022,-9.1106187,-10.48640793,-12.79939983,-10.83351656,-7.802147708,-11.61334294,-12.51812786,-10.49690394,-8.215004535,-8.33670991,-8.528409374,-11.31831007,-9.423555628,-8.188128223,-3.987365665,-6.406670029,-11.18463948,-11.58693994,-9.933504774,-11.47499925,-0.342645062,-13.0855878,-11.00822891,-8.764271142,-5.658470301,-6.542359321,-4.395264224,-10.678212,-3.880043027,-8.964010379,-13.22676386,-8.512903625
22-023,-8.042790059,-9.935735245,-13.50055545,-10.07293988,-6.738410527,-11.02127776,-10.85135276,-9.869184052,-6.039574243,-9.214311273,-7.085024556,-12.05984988,-9.508472795,-9.496770502,-4.989592145,-7.343531567,-9.746697675,-11.9635445,-10.64702466,-12.84572508,-14.21704,-12.73464723,-12.11467828,-11.08050117,-6.626563026,-5.182079247,-10.99616381,-6.739400764,-4.070246735,-9.734647234,-14.66064665,-14.78094089
22-023,-3.982977815,-3.583858398,-9.771610365,-7.468682531,-4.112867631,-7.501837185,-3.861931207,-3.205999747,1.209312556,-5.497488339,-5.052543836,-4.993376431,-5.460381056,-2.78627952,-1.190316533,-1.701179593,-8.389799981,-6.123865845,-8.402137793,-10.28623641,3.012734079,-6.963690708,-5.207953403,-3.816796971,-5.034059751,-5.359079559,1.972384099,-2.241867636,-8.012976086,-9.006752405,-8.510447524,-6.136632687
22-024,-0.988213493,-4.069766473,-9.339699118,-6.882807402,-4.384383154,-7.765854305,-5.966197723,-5.6176561,-1.273269549,-7.556056074,-7.202381289,-7.879933309,-8.247590041,-5.194302488,-3.371965143,-4.243098001,-9.817493554,-8.322239581,-10.04679232,-11.43467068,3.030822053,-9.021806344,-7.222224438,-4.402483166,-6.371751108,-1.790656775,0.678556905,-3.46272565,-2.937787315,-5.335832756,-9.558467512,-7.094724006
22-025,-6.213584297,-8.141922085,-14.13841421,-10.58265562,-7.802748817,-12.36345329,-12.34380778,-10.59966489,-7.665011967,-9.164294039,-10.31602795,-13.10495891,-10.09620123,-10.05443975,-6.799478555,-6.702123977,-14.54641759,-12.68167742,-9.828167921,-12.47389133,-7.055046731,-12.95344859,-8.608620094,-7.38225721,-12.18452326,-8.82779749,-4.545076388,-8.591680232,-2.601572956,-11.08002909,-11.33051824,-9.233608036
22-026,-7.925367808,-9.248243033,-13.49670897,-11.94207658,-8.004492115,-12.39690047,-11.73539351,-11.36106698,-7.626536654,-9.63893968,-8.657978871,-11.34993359,-8.287974777,-8.72090375,-5.892120251,-7.042169028,-13.19000409,-11.93166497,-11.37322591,-12.04305596,-2.593734726,-14.26869455,-11.80926293,-6.171120391,-6.836061875,-9.375458977,-3.88903366,-12.95936649,-3.70856943,-10.44574277,-13.81497658,-7.543735899
22-026,-3.890200692,-0.618103406,-5.842665117,-3.608643033,-1.306487312,-3.940498423,-3.6374622,-2.630544779,1.864992912,-4.158524149,-3.253391367,-4.820056205,-4.692757859,-2.383443043,-0.719514525,-1.225726806,-8.188639719,-5.707722915,-8.698822615,-11.15864369,4.3065741,-3.825568276,-3.443613892,-2.607172981,-5.830398791,0.53720258,3.782103659,-0.331366357,-3.675391828,-3.547486448,-7.388288108,-4.984544739
22-029,-7.164450056,-9.021998331,-13.1603245,-10.20894601,-7.747115896,-11.49706634,-12.62254393,-10.28256762,-7.351577685,-9.820497418,-9.180070946,-12.07297088,-9.500734898,-9.591700734,-6.477524186,-7.268802718,-12.60727718,-13.31501206,-11.02653926,-13.9709324,-3.948359672,-13.97906925,-13.02415714,-7.424952712,-10.42400823,-10.17966308,-4.798203779,-9.359385366,-4.663640963,-14.35758087,-13.67950896,-7.702801652
58-001,-6.997331142,-7.8188835,-12.44735589,-10.77704022,-7.991110036,-10.88804011,-12.38137866,-10.27604248,-7.28502129,-10.29447794,-10.07747698,-13.04803076,-10.06327735,-9.754436755,-7.774783478,-8.228338406,-13.65111661,-13.13194337,-12.28439305,-12.23932233,7.336102592,-11.42129247,-9.33575479,-7.582358478,-13.54649303,-7.658485794,-3.683293828,-8.082744112,-3.561104572,-14.46932516,-16.05428767,-9.140650238
58-001,-2.069593716,-2.426259451,-8.151989854,-7.523564313,-3.980803171,-7.628172055,-5.411289577,-4.892484183,-0.541571602,-6.613891147,-8.26571136,-6.284431196,-6.841774693,-3.680288829,-2.318155271,-2.770144609,-10.76713741,-7.070388752,-11.0302631,-11.42535602,4.046340941,-8.752772407,-7.707410411,-5.265076148,-10.72598743,-2.006632948,1.26654541,-3.083531185,-3.022940354,-5.758312954,-8.505491813,-5.860952485
58-002,-5.846174381,-2.155807087,-6.836381479,-3.569552025,-1.769180217,-4.610378984,-6.295888333,-4.200899257,0.097225768,-6.689390868,-4.052217909,-7.004725961,-5.720363315,-5.078989015,-2.588716104,-3.980237785,-8.797815407,-8.479402962,-8.656014731,-11.88018565,1.891441699,-3.590411376,-4.170508121,-2.916859941,-5.522563106,0.208206522,2.844269518,-1.371406287,-3.187154183,-4.122569368,-4.029386247,-1.564216799
58-003,-8.420007908,-11.9044919,-14.12454038,-11.72676853,-8.555547886,-12.60240472,-10.95370487,-10.90713339,-6.724388684,-10.06654866,-8.755934714,-12.15038656,-10.45920446,-9.256279022,-7.088304315,-7.748908507,-14.10419174,-13.44954568,-11.18629737,-14.77661708,-11.04615883,-13.91532976,-11.34596411,-10.49666101,-9.309193237,-12.74024305,-4.444211805,-7.874465604,-2.89770189,-12.71977895,-13.06217115,-7.74153175
58-003,-6.642571725,-1.953888956,-6.900542261,-5.503924537,-1.899915939,-4.757135831,-3.352079713,-4.01177232,0.231078807,-5.869367257,-4.748550722,-5.689788065,-5.183553014,-3.279269098,-1.291789844,-2.283319195,-8.387304224,-6.606620273,-9.279776207,-10.68682092,5.092481255,-7.478579325,-6.166544753,-3.328086622,-6.000231093,-0.379618425,2.03057619,-2.147725633,-6.480275769,-5.573724702,-4.577770361,-1.965900101
58-004,-4.5465814,-3.245114394,-7.845548346,-4.310879843,-1.909262743,-6.114935542,-3.8933222,-5.981290426,-1.495664319,-5.035957038,-6.53270287,-7.50665032,-2.992218217,-5.531938964,-1.188613577,-4.29366144,-8.233041033,-8.704205312,-10.7383311,-11.69751066,7.760496657,-8.317638884,-6.51116187,-4.083301626,-3.980661227,-0.624305275,3.135508868,-0.935581765,-3.174932101,-6.808708259,-4.128557907,-1.645088068
58-005,-9.98003293,-9.461705497,-12.90544814,-10.84353905,-8.201086897,-11.72552885,-12.70542353,-13.09492594,-8.648592312,-9.597646008,-10.08777242,-14.5309258,-11.05007171,-11.85313927,-7.830222716,-8.203415795,-13.26105936,-14.70542353,-11.55625709,-11.57496329,-0.09984608,-8.337176906,-12.60480214,-6.992071152,-12.77607357,-11.80052661,-5.495263817,-6.202649139,-3.910327304,-15.97045161,-12.91600383,-8.796678397
58-005,-8.643505274,-4.268060123,-11.0791173,-8.198470307,-5.19754793,-9.58369756,-6.384387043,-6.739525455,-3.027693859,-9.436002067,-8.54677711,-9.864168749,-11.79140397,-8.845503581,-7.212817489,-7.47678614,-11.86880847,-12.20578911,-11.54956792,-12.04546175,5.295302183,-9.596221748,-8.006921616,-6.388001711,-12.47025652,-3.73983699,-1.740855233,-5.978403419,-4.657112416,-9.298209903,-8.9413044,-6.299933474
58-006,-9.564175115,-10.1520432,-13.91311567,-12.08204916,-7.925749328,-12.39710053,-12.59581161,-13.47588794,-9.077595774,-11.09959099,-9.472960766,-12.57740376,-8.673335776,-10.45893978,-6.714660811,-8.232903857,-12.75090564,-16.15097951,-11.46685945,-12.04759272,0.60271933,-13.71824793,-12.91647404,-8.083780245,-7.309774739,-5.256215515,-3.421192253,-10.58118756,-4.270662033,-15.0697203,-13.31299145,-6.055892293
58-006,-5.000880394,-3.463043064,-4.847493402,-2.353654019,-0.763935368,-3.885872964,-5.550760599,-3.832810533,0.814121527,-5.09689674,-4.226899828,-5.759238011,-1.91543908,-3.201517687,-0.618137905,-2.370564813,-7.54686074,-6.452764778,-9.298579089,-9.80438437,7.04615583,-7.529420683,-5.669795899,-2.225157008,-5.335259566,0.883795793,3.959755839,-0.2986412,-4.638214776,-5.091057431,-3.652352251,-1.187684123
58-007,-8.511631498,-9.156813962,-13.37346283,-11.09733842,-8.655169709,-12.26493837,-13.60157725,-11.78669809,-8.278540629,-10.19933609,-10.73770844,-12.43800308,-9.610715387,-10.23903651,-7.115250152,-7.983809981,-13.40629422,-13.67524435,-11.66582761,-12.46368973,-2.086205148,-11.3661317,-8.428969431,-7.594885863,-11.62257343,-8.504736938,-4.96823122,-12.39206017,-3.788049547,-13.91842801,-13.75569851,-9.033232487
58-007,-3.755386262,-4.08869001,-9.344610829,-8.157686103,-5.027071684,-10.15655635,-7.354818572,-6.797861714,-3.54649511,-8.951612006,-8.443618198,-9.213715941,-9.440005653,-8.785556795,-4.822238015,-7.879182957,-14.7074796,-12.53902599,-11.40822956,-13.59608068,4.343619203,-8.661877045,-7.58869913,-6.252345378,-11.79985915,-4.024759575,-1.330792996,-5.534372431,-3.743923651,-8.586710577,-9.269445696,-6.643157847
58-008,-8.237333585,-8.653740123,-14.48076726,-11.20878286,-7.836236717,-11.70699009,-12.01216701,-11.4247243,-6.9954659,-9.702340197,-10.86399407,-11.41439845,-8.096367532,-9.00507593,-5.818212158,-6.811633703,-13.08791461,-11.74586413,-11.36126016,-12.32464805,-0.450185352,-8.728189096,-7.442769696,-7.01916693,-11.54293386,-11.1385436,-2.573881283,-6.745886961,-3.548561932,-15.8003217,-7.476141154,-4.798385787
58-008,-4.238798506,-0.894756836,-7.229486473,-4.095776424,-2.610592714,-4.941485246,-4.42580676,-1.201265952,3.175365354,-3.248148204,-0.398224883,-4.019441952,-6.396533194,-2.465187003,-0.887294013,-1.443894669,-7.168930111,-5.802958969,-8.041167726,-11.13166674,5.720550757,-3.929856332,-2.852378543,-0.535449101,-4.392094155,1.302652195,4.569463394,0.492494094,-3.478091502,-2.629204548,-5.168515651,-2.61360395