,10-105-22-021 D0,11-105-22-021 D0,12-105-22-022 D0,14-105-22-023 D0,15-105-22-023 D0,17-105-22-024 D0,19-105-22-025 D0,21-105-22-026 D0,22-105-22-026 D0,24-105-22-029 D0,37-105-58-001 D0,38-105-58-001 D0,40-105-58-002 D0,42-105-58-003 D0,43-105-58-003 D0,46-105-58-004 D0,48-105-58-005 D0,49-105-58-005 D0,51-105-58-006 D0,52-105-58-006 D0,55-105-58-007 D0,56-105-58-007 D0,58-105-58-008 D0,59-105-58-008 D0,13-105-22-022 D15,16-105-22-023 D15,18-105-22-024 D15,20-105-22-025 D15,23-105-22-026 D15,25-105-22-029 D15,39-105-58-001 D15,41-105-58-002 D15,44-105-58-003 D15,47-105-58-004 D15,50-105-58-005 D15,53-105-58-006 D15,57-105-58-007 D15,60-105-58-008 D15
Tryptophan,-2.467951502,-1.624059804,-2.983681546,-0.667515962,-2.897889116,-2.451614997,-4.262072158,-3.710636042,-1.529818992,-4.215133073,-5.197089258,-2.228620376,-0.634224861,-6.212183659,0.61919759,0.094449723,-4.56574824,-3.319798753,-2.284365057,0.138363278,-3.820656166,-5.764470225,-2.896360131,0.441099132,-1.911935986,-1.542639617,-1.492582283,-0.375848811,-0.686985479,-0.922137195,-0.605773905,-0.188234764,-0.429480551,-1.108641429,-1.216097964,-0.03063415,-1.222448477,-0.78818377
Kynurenine,-8.232576244,-4.800682269,-7.706480841,-6.347355536,-3.711169065,-9.51049092,-7.98152137,-7.40078699,-1.040133132,-7.287166522,-8.241862487,-6.401250988,-3.914844183,-11.44316765,-3.716797611,-4.475928134,-7.348031775,-7.949583107,-7.29964416,-3.76843172,-6.772823251,-9.741995835,-6.925444779,-3.383761871,-5.205266007,-6.087063898,-7.16418902,-8.19328772,-2.883161203,-6.399012637,-6.483233979,-5.120105301,-4.31157423,-4.180450055,-5.620245929,-3.957522525,-7.427294708,-5.163477789
Nicotinic-acid-ribonucleotide,-9.144134531,-8.47487138,-9.221424774,-8.74417552,-5.478630445,-6.720923592,-8.818925765,-7.862804573,-10.07802082,-9.39123643,-10.10013704,-9.623494228,-10.97639018,-11.70860188,-12.74975567,-9.554205746,-9.961776194,-8.888996333,-9.23861674,-9.477952846,-7.673555751,-9.768711726,-7.250987848,-7.188790525,-9.386420977,-8.509049889,-8.936736815,-8.694607501,-9.906169942,-8.775640925,-8.567035036,-7.844487537,-10.78719104,-10.53777382,-8.967397713,-8.149643082,-8.223723439,-9.992313383
Nicotinamide,-1.216147748,1.265031299,-1.781930482,-2.372706862,-0.262970297,-0.969626965,-4.052436904,-2.496738036,3.944541605,-3.517292687,-4.291353221,1.111050031,2.006035653,-7.047302254,2.328772689,2.94032502,-4.829665368,-2.083717048,-3.554162244,2.730053951,-3.446498092,-1.078054896,-1.85865004,4.773924304,-1.085577871,0.601782792,-0.083753486,2.601531765,3.128379715,2.245586278,2.036671415,3.345223594,2.548506111,0.636077812,1.263571587,2.359896911,1.14155714,1.856388755
Serotonin,-13.60964589,-16.29468201,-14.59823506,-12.38003086,-8.751217018,-4.676136053,-13.37138314,-11.49549182,-5.648398294,-10.37935283,-9.943959191,-5.23761274,-5.284771926,-11.76742886,-6.27430443,-10.28791453,-11.03828267,-5.147838153,-12.21863723,-8.802792536,-8.824033898,-5.040859704,-10.08230662,-6.153388183,-4.895985091,-4.754792152,-5.072368833,-5.526275546,-5.286443202,-5.410379239,-4.824851954,-5.133239104,-4.862162043,-8.100612371,-5.579950442,-5.745187393,-5.09332723,-5.336589843
5-Hydroxytryptophan,-11.42807783,-4.988045173,-9.319763043,-10.6656541,-3.803228646,-6.005800287,-8.342236795,-8.469884209,-3.793032787,-8.337230664,-8.061704696,-4.21614755,-3.871047108,-7.372136192,-3.280227203,-6.237148244,-9.044139304,-11.11056302,-9.567065443,-7.471775468,-8.18054736,-8.701622618,-9.101768494,-8.055044116,-5.386289747,-4.129163322,-3.976631873,-2.525976716,-3.495391661,-4.35632248,-4.287202601,-3.192545487,-5.130472167,-3.806713171,-4.568706991,-7.649843243,-8.737780894,-9.879443388
Quinolinic-acid,-11.07926977,-12.7342022,-12.96393503,-12.23391499,-8.49853522,-7.250861887,-12.87235082,-10.28691656,-4.130976683,-14.31244756,-14.45978733,-9.327406425,-3.168369919,-12.0331343,-13.7260942,-7.778193854,-14.00638082,-9.157464832,-13.34244538,-12.7647245,-9.930253147,-8.155228515,-12.80658083,-6.180004669,-8.679247722,-6.657981119,-6.952497867,-6.003146094,-7.124234475,-8.479389421,-6.097284088,-2.413453825,-6.686087421,-12.70160104,-9.147205987,-7.930155385,-6.579004649,-7.005783393
Indoleacetaldehyde,-9.247776594,-8.770969279,-8.720288342,-8.625277685,-9.741358737,-10.17078643,-8.977524302,-8.830042455,-9.17692933,-8.428496217,-9.149318348,-10.45889629,-8.958544027,-10.65362046,-8.141234633,-7.661742649,-8.622468542,-10.0780274,-8.431350103,-7.990270184,-7.633396606,-11.87147236,-8.79491232,-7.4264935,-10.31688181,-10.28742026,-9.987200037,-9.003530651,-8.92740769,-9.3696549,-9.235744235,-8.560598488,-8.993345989,-7.592183966,-9.22883886,-8.284792862,-9.376621763,-9.528399849
5-Methoxyindole-3-acetic-acid,-10.2798126,-9.857009953,-9.985384448,-8.913298436,-10.85281555,-11.33204083,-10.30802108,-9.928953278,-9.99486343,-11.10479786,-11.39912071,-10.8660763,-9.004914214,-3.15685842,-7.840063606,-9.71716589,-13.3425629,-12.67259479,-10.11542232,-9.807397675,-12.80821274,-14.03632637,-11.79965477,-9.058126737,-10.22229031,-10.30556404,-10.02932697,-8.977960265,-9.083624471,-9.43046615,-8.901742009,-8.606276062,-9.070517253,-9.56029083,-9.457828173,-8.485777377,-9.441463442,-9.303244367
Kynurenic-acid,-5.003176894,-5.926249004,-4.486380864,-4.573531052,-6.080734378,-8.052446509,-4.450368052,-4.123490121,-5.3489276,-3.776136527,-4.925282154,-6.705831789,-5.992006283,-8.959954808,-5.80451815,-3.149970747,-4.23554329,-6.961421909,-4.143932013,-5.717591401,-3.500056812,-7.580696323,-5.33100342,-5.91344504,-7.665532918,-7.262804763,-7.098313994,-5.762514586,-5.820536432,-5.994165231,-6.252729858,-5.864139379,-6.315254731,-6.203268772,-6.032208393,-5.990901927,-6.5231769,-6.525401633
Iminoaspartate,-1.904023863,2.164699768,-1.276310381,-0.389069869,2.317793869,0.024898439,-2.803981891,-1.360968833,3.591420401,-3.178164906,-2.969073336,0.411994669,3.394145815,-4.906618161,3.682254232,3.710077307,-2.780802952,-0.14927256,0.966557414,3.489359899,-1.545522009,-0.991038394,-0.990038695,4.0310972,0.231394627,1.362650591,1.040813574,2.31126561,3.614398103,2.04817761,2.880905593,4.069380673,3.06985248,2.291885145,2.365710354,3.737177475,2.437588934,2.530079002
5-Hydroxyindoleacetic-acid,-14.33608082,-8.762925678,-16.99933336,-10.25654143,-7.526803525,-11.88879458,-10.31986898,-11.96693176,-4.486331787,-10.9202973,-11.61709032,-11.2976809,-8.636954653,-12.3403498,-8.235064793,-8.075406225,-10.60428237,-12.50963781,-10.19392927,-7.760026393,-10.52107213,-13.24862997,-10.44764095,-7.024233569,-9.346483255,-10.29674715,-11.24740378,-12.00435928,-6.678893484,-10.1315833,-10.24788095,-8.758327894,-8.381354001,-8.301562351,-9.813801361,-7.90272722,-9.960349608,-9.22824483
3hydroxyanthranilic-acid,-7.998057238,-6.979380016,-9.04342271,-8.480168947,-7.376872066,-10.52337377,-9.779200726,-10.02626903,-9.735327239,-12.28808301,-11.86183918,-13.53564534,-7.895758968,-12.83398721,-9.163224515,-7.040259999,-11.96191653,-10.42536589,-9.471414831,-9.38355301,-10.32203235,-10.46254367,-8.849923076,-6.570381099,-8.034304225,-9.432989434,-10.42204964,-10.49624197,-10.94998269,-11.97439027,-7.856715384,-6.895380646,-8.866551226,-11.1058403,-9.083045741,-9.560577317,-10.97679518,-10.03623674
Methyl-2-pyridone-5-carboxamide,-8.246025283,-5.829429577,-10.0227876,-6.186415686,-7.815141114,-9.09983634,-10.38878529,-9.995459975,-2.830281922,-11.03507814,-10.33595592,-7.769919053,-3.479650559,-8.859204595,-5.506743313,-4.747605389,-11.06969562,-8.614194086,-14.10762599,-5.246180614,-9.964283488,-8.577239936,-8.933690461,-2.58111685,-7.844489324,-5.796249718,-6.166289914,-6.176580278,-3.247153145,-3.704806504,-6.248802714,-2.708163031,-4.055726327,-6.323996818,-5.457848169,-6.082482381,-3.797454378,-3.48191786
N-methylnicotinamide,-2.582399242,2.613395317,-2.446273341,-2.871545919,2.251141819,-0.284903017,-4.230751581,-2.518367745,3.428198883,-3.920046567,-4.232175736,0.787048489,1.121807218,-5.337870941,1.689555335,1.770511941,-4.93432028,-3.657399551,-4.629918377,0.87451371,-3.234573467,-1.93753102,-2.695177768,2.848922391,-0.803727985,-0.167758091,-0.428436719,2.113578326,1.949784272,1.881628566,1.65447141,2.602178379,1.469242089,1.173260582,0.23578732,2.078713219,0.722754853,1.097100608
Hydroxy-kynurenine,-14.91866067,-13.79544938,-16.65537896,-17.6374187,-12.2258845,-9.21049741,-14.48147259,-15.79573366,-8.824642,-12.59030068,-15.2489949,-11.39618318,-8.751499093,-14.56978887,-13.73104341,-14.06956894,-14.91878176,-11.06537142,-16.33068741,-14.12729457,-16.09587801,-10.35068125,-16.74009792,-12.2615084,-9.340514177,-7.978907943,-8.521628066,-9.701886116,-8.410135067,-9.217563121,-9.008514469,-10.1331206,-8.352138771,-13.06453789,-14.24485118,-13.87337733,-9.244987931,-8.795116258